,91901,91902,91905,91906,91910,91911,92028,92029,92036,92058
91901,0.0,16720.376410231154,18036.456181213118,0.0,23268.508816831367,26235.432517411027,53731.01371053958,30844.84632361371,0.0,67861.38470345321
91902,16720.376410231154,0.0,55009.549075711264,31867.01437458939,0.0,1987.1968911498973,68952.91057649619,39687.48618582588,34868.60152246844,71099.69728086583
91905,18036.456181213118,55009.549075711264,0.0,0.0,58594.467840226054,61129.75537440663,89982.15187234964,70632.67476036,0.0,107139.99074688379
91906,0.0,31867.01437458939,0.0,0.0,34782.23875054536,37194.18321566708,84100.88218673356,58736.049419420415,12037.9897109285,95802.8352802677
91910,23268.508816831367,0.0,58594.467840226054,34782.23875054536,0.0,0.0,71233.42574166003,43147.32350834069,42129.7621975468,71313.16219924559
91911,26235.432517411027,1987.1968911498973,61129.75537440663,37194.18321566708,0.0,0.0,75026.35612260122,46723.79345438405,45131.16994653251,75210.29580973138
92028,53731.01371053958,68952.91057649619,89982.15187234964,84100.88218673356,71233.42574166003,75026.35612260122,0.0,19739.988062295124,48993.46620735906,11883.278165656418
92029,30844.84632361371,39687.48618582588,70632.67476036,58736.049419420415,43147.32350834069,46723.79345438405,19739.988062295124,0.0,31222.52018460692,25877.486043816443
92036,0.0,34868.60152246844,0.0,12037.9897109285,42129.7621975468,45131.16994653251,48993.46620735906,31222.52018460692,0.0,67881.42295425179
92058,67861.38470345321,71099.69728086583,107139.99074688379,95802.8352802677,71313.16219924559,75210.29580973138,11883.278165656418,25877.486043816443,67881.42295425179,0.0
